molecule_name,packed_number,attempted_number
int_0__ybbN,0,4
int_0__ybbO,0,0
int_0__lhgO,0,0
surf_0__yedE,0,0
int_0__ybbA,0,0
surf_0__yedV,0,0
int_0__fpr,0,0
int_0__pcm,0,1
int_0__dnaJ,0,1
int_0__guaA,0,6
int_0__guaB,0,17
int_0__guaC,0,3
surf_0__pitA,0,2
int_0__ahpF,0,3
int_0__ahpC,1,77
int_0__gldA,0,0
int_0__mlaB,0,0
surf_0__ycjF,0,0
int_0__fumC,0,0
int_0__gpt,0,5
int_0__fumA,0,2
int_0__yhcH,0,1
int_0__cheA,0,0
surf_0__yoaE,1,1
int_0__cheB,0,0
surf_0__yajC,30,73
int_0__cheZ,0,6
int_0__gph,0,1
int_0__cheW,0,19
int_0__mtnN,0,3
int_0__cheR,0,0
int_0__artP,0,1
int_0__tmk,0,0
int_0__gnd,0,19
int_0__mgsA,0,1
int_0__eno,0,54
int_0__glrR,0,0
int_0__nemA,0,0
int_0__secB,0,19
int_0__secA,1,1
surf_0__corA,0,2
int_0__yoaB,0,2
int_0__yoaC,0,0
int_0__era,0,0
int_0__queC,0,0
int_0__queA,0,1
int_0__queF,0,1
int_0__queD,1,1
int_0__queE,0,0
int_0__gcvR,0,1
int_0__gcvP,0,0
int_0__gcvT,0,1
int_0__flhC,0,0
int_0__flhD,0,0
surf_0__secY,1,4
int_0__nanE,0,0
surf_0__tonB,0,2
int_0__nanK,0,0
surf_0__secF,0,3
surf_0__secG,0,26
surf_0__secD,0,0
surf_0__secE,0,1
int_0__rfaY,0,1
int_0__rfaP,0,0
int_0__rfaQ,0,0
int_0__glyS,0,4
int_0__rfaH,0,0
int_0__rfaI,0,0
int_0__rfaJ,0,0
int_0__rfaF,0,0
int_0__rfaG,0,0
int_0__rfaB,0,0
int_0__rfaC,0,1
int_0__ravA,0,0
int_0__orn,0,1
int_0__miaB,0,2
int_0__yjaG,0,0
int_0__miaA,0,0
int_0__yiaJ,0,0
int_0__yqgE,0,0
int_0__yqgF,0,0
int_0__hsdR,0,0
int_0__hsdS,0,0
int_0__hsdM,0,1
int_0__htpG,0,4
surf_0__rsxG,0,2
surf_0__rsxC,0,1
int_0__avtA,0,0
int_0__tabA,0,3
int_0__mmuM,0,0
int_0__talB,0,14
int_0__talA,0,1
int_0__gshA,0,1
int_0__gshB,0,2
int_0__astC,0,0
int_0__cdh,0,0
int_0__mprA,0,2
int_0__fbp,0,2
int_0__cdd,0,0
int_0__yacL,0,1
int_0__yacG,1,1
surf_0__sdaC,0,1
int_0__iaaA,0,0
int_0__ppnN,0,1
surf_0__glpT,0,1
int_0__ppnP,0,2
int_0__glcG,0,1
int_0__glcF,0,0
int_0__glcE,0,0
int_0__glcD,0,0
surf_0__glpF,0,0
int_0__glcB,0,0
int_0__spoT,0,0
int_0__kdgK,0,1
int_0__cpxR,0,2
int_0__yceA,0,1
int_0__yceD,0,2
int_0__yceF,0,1
int_0__lpxC,0,0
int_0__lpxB,0,0
int_0__lpxA,0,1
int_0__baeR,0,1
int_0__lpxD,0,0
surf_0__ygaP,0,0
int_0__yeiG,0,0
int_0__prr,0,0
int_0__prs,0,9
int_0__ykgG,0,1
int_0__rsgA,1,1
int_0__ykgE,0,0
int_0__aceE,0,7
int_0__mhpR,0,0
int_0__ytfE,0,0
int_0__yeiR,0,0
int_0__aceF,0,13
int_0__yeiP,0,5
surf_0__ygaM,0,0
int_0__ribB,0,1
int_0__ribC,0,2
int_0__ribA,0,1
int_0__ribF,0,0
int_0__ribD,0,0
int_0__ribE,0,0
surf_0__proP,3,3
int_0__lolD,0,0
int_0__yeeD,7,7
surf_0__proW,0,0
surf_0__cdsA,0,1
int_0__amn,0,0
surf_0__mglC,0,0
int_0__ysgA,0,0
int_0__pnp,0,3
int_0__yggX,0,0
int_0__clpB,0,3
int_0__yggW,0,0
int_0__clpA,0,0
int_0__yegD,0,0
int_0__yggS,0,1
int_0__yggN,0,0
int_0__clpX,0,4
int_0__yegP,0,0
int_0__yegQ,0,1
int_0__clpP,0,10
